"town","tract","lon","lat","medv","cmedv","crim","zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","b","lstat"
"Cambridge",3550,-71.0792,42.239,19.1,19.1,2.3139,0,19.58,"0",0.605,5.88,97.3,2.3887,5,403,14.7,348.13,12.03
"Arlington",3561,-71.087,42.2416,23.1,23.1,0.13914,0,4.05,"0",0.51,5.572,88.5,2.5961,5,296,16.6,396.9,14.69
"Arlington",3562,-71.0855,42.245,23.6,23.6,0.09178,0,4.05,"0",0.51,6.416,84.1,2.6463,5,296,16.6,395.5,9.04
"Arlington",3563,-71.0833,42.2475,22.6,22.6,0.08447,0,4.05,"0",0.51,5.859,68.7,2.7019,5,296,16.6,393.23,9.64
"Arlington",3564,-71.094,42.2575,29.4,29.4,0.06664,0,4.05,"0",0.51,6.546,33.1,3.1323,5,296,16.6,390.96,5.33
"Arlington",3565,-71.1125,42.255,23.2,23.2,0.07022,0,4.05,"0",0.51,6.02,47.2,3.5549,5,296,16.6,393.23,10.11
"Arlington",3566,-71.106,42.2512,24.6,24.6,0.05425,0,4.05,"0",0.51,6.315,73.4,3.3175,5,296,16.6,395.6,6.29
"Arlington",3567,-71.0965,42.247,29.9,29.9,0.06642,0,4.05,"0",0.51,6.86,74.4,2.9153,5,296,16.6,391.27,6.92
"Belmont",3571,-71.1,42.2408,37.2,37.2,0.0578,0,2.46,"0",0.488,6.98,58.4,2.829,3,193,17.8,396.9,5.04
"Belmont",3572,-71.0995,42.2345,39.8,39.8,0.06588,0,2.46,"0",0.488,7.765,83.3,2.741,3,193,17.8,395.56,7.56
"Belmont",3573,-71.0966,42.2282,36.2,36.2,0.06888,0,2.46,"0",0.488,6.144,62.2,2.5979,3,193,17.8,396.9,9.45
"Belmont",3574,-71.1005,42.2287,37.9,37.9,0.09103,0,2.46,"0",0.488,7.155,92.2,2.7006,3,193,17.8,394.12,4.82
"Belmont",3575,-71.1065,42.23,32.5,32.5,0.10008,0,2.46,"0",0.488,6.563,95.6,2.847,3,193,17.8,396.9,5.68
"Belmont",3576,-71.112,42.23,26.4,26.4,0.08308,0,2.46,"0",0.488,5.604,89.8,2.9879,3,193,17.8,391,13.98
"Belmont",3577,-71.1175,42.235,29.6,29.6,0.06047,0,2.46,"0",0.488,6.153,68.8,3.2797,3,193,17.8,387.11,13.15
"Belmont",3578,-71.1115,42.2442,50,50,0.05602,0,2.46,"0",0.488,7.831,53.6,3.1992,3,193,17.8,392.63,4.45
"Lexington",3581,-71.122,42.2565,32,32,0.07875,45,3.44,"0",0.437,6.782,41.1,3.7886,5,398,15.2,393.87,6.68
"Lexington",3583,-71.1408,42.255,29.8,29.8,0.12579,45,3.44,"0",0.437,6.556,29.1,4.5667,5,398,15.2,382.84,4.56
"Lexington",3584,-71.145,42.2651,34.9,34.9,0.0837,45,3.44,"0",0.437,7.185,38.9,4.5667,5,398,15.2,396.9,5.39
"Lexington",3585,-71.1216,42.27,37,33,0.09068,45,3.44,"0",0.437,6.951,21.5,6.4798,5,398,15.2,377.68,5.1
"Lexington",3586,-71.1485,42.2765,30.5,30.5,0.06911,45,3.44,"0",0.437,6.739,30.8,6.4798,5,398,15.2,389.71,4.69
"Lexington",3587,-71.134,42.2785,36.4,36.4,0.08664,45,3.44,"0",0.437,7.178,26.3,6.4798,5,398,15.2,390.49,2.87
"Bedford",3591,-71.1525,42.3,31.1,31.1,0.02187,60,2.93,"0",0.401,6.8,9.9,6.2196,1,265,15.6,393.37,5.03
"Bedford",3592,-71.1633,42.303,29.1,29.1,0.01439,60,2.93,"0",0.401,6.604,18.8,6.2196,1,265,15.6,376.7,4.38
"Lincoln",3602,-71.189,42.2525,50,50,0.01381,80,0.46,"0",0.422,7.875,32,5.6484,4,255,14.4,394.23,2.97
"Concord",3611,-71.22,42.2715,33.3,33.3,0.04011,80,1.52,"0",0.404,7.287,34.1,7.309,2,329,12.6,396.9,4.08
"Concord",3612,-71.24,42.2725,30.3,30.3,0.04666,80,1.52,"0",0.404,7.107,36.6,7.309,2,329,12.6,354.31,8.61
"Concord",3613,-71.222,42.289,34.6,34.6,0.03768,80,1.52,"0",0.404,7.274,38.3,7.309,2,329,12.6,392.2,6.62
"Sudbury",3651,-71.244,42.2425,34.9,34.9,0.0315,95,1.47,"0",0.403,6.975,15.3,7.6534,3,402,17,396.9,4.56
"Sudbury",3652,-71.263,42.2225,32.9,32.9,0.01778,95,1.47,"0",0.403,7.135,13.9,7.6534,3,402,17,384.3,4.45
"Wayland",3661,-71.2185,42.1955,24.1,24.1,0.03445,82.5,2.03,"0",0.415,6.162,38.4,6.27,2,348,14.7,393.77,7.43
"Wayland",3662,-71.214,42.218,42.3,42.3,0.02177,82.5,2.03,"0",0.415,7.61,15.7,6.27,2,348,14.7,395.38,3.11
"Weston",3671,-71.199,42.232,48.5,48.5,0.0351,95,2.68,"0",0.4161,7.853,33.2,5.118,4,224,14.7,392.78,3.81
"Weston",3672,-71.199,42.2058,50,50,0.02009,95,2.68,"0",0.4161,8.034,31.9,5.118,4,224,14.7,390.55,2.88
"Waltham",3681,-71.1475,42.2445,22.6,22.6,0.13642,0,10.59,"0",0.489,5.891,22.3,3.9454,4,277,18.6,396.9,10.87
"Waltham",3682,-71.15,42.2308,24.4,24.4,0.22969,0,10.59,"0",0.489,6.326,52.5,4.3549,4,277,18.6,394.87,10.97
"Waltham",3683,-71.149,42.2268,22.5,22.5,0.25199,0,10.59,"0",0.489,5.783,72.7,4.3549,4,277,18.6,389.43,18.06
"Waltham",3684,-71.1503,42.222,24.4,24.4,0.13587,0,10.59,"1",0.489,6.064,59.1,4.2392,4,277,18.6,381.32,14.66
"Waltham",3685,-71.143,42.2217,20,20,0.43571,0,10.59,"1",0.489,5.344,100,3.875,4,277,18.6,396.9,23.09
"Waltham",3686,-71.1435,42.2177,21.7,21.7,0.17446,0,10.59,"1",0.489,5.96,92.1,3.8771,4,277,18.6,393.25,17.27
"Waltham",3687,-71.138,42.2216,19.3,19.3,0.37578,0,10.59,"1",0.489,5.404,88.6,3.665,4,277,18.6,395.24,23.98
"Waltham",3688,-71.1335,42.225,22.4,22.4,0.21719,0,10.59,"1",0.489,5.807,53.8,3.6526,4,277,18.6,390.94,16.03
"Waltham",3689,-71.1375,42.2355,28.1,28.1,0.14052,0,10.59,"0",0.489,6.375,32.3,3.9454,4,277,18.6,385.81,9.38
"Waltham",3690,-71.127,42.235,23.7,23.7,0.28955,0,10.59,"0",0.489,5.412,9.8,3.5875,4,277,18.6,348.93,29.55
"Waltham",3691,-71.1245,42.2277,25,25,0.19802,0,10.59,"0",0.489,6.182,42.4,3.9454,4,277,18.6,393.63,9.47
"Watertown",3701,-71.1166,42.223,23.3,23.3,0.0456,0,13.89,"1",0.55,5.888,56,3.1121,5,276,16.4,392.8,13.51
"Watertown",3702,-71.105,42.2235,28.7,28.7,0.07013,0,13.89,"0",0.55,6.642,85.1,3.4211,5,276,16.4,392.78,9.69
"Watertown",3703,-71.0933,42.222,21.5,21.5,0.11069,0,13.89,"1",0.55,5.951,93.8,2.8893,5,276,16.4,396.9,17.92
"Watertown",3704,-71.106,42.2185,23,23,0.11425,0,13.89,"1",0.55,6.373,92.4,3.3633,5,276,16.4,393.74,10.5
"Newton",3731,-71.11,42.2137,26.7,26.7,0.35809,0,6.2,"1",0.507,6.951,88.5,2.8617,8,307,17.4,391.7,9.71
"Newton",3732,-71.121,42.2166,21.7,21.7,0.40771,0,6.2,"1",0.507,6.164,91.3,3.048,8,307,17.4,395.24,21.46
"Newton",3733,-71.125,42.2134,27.5,27.5,0.62356,0,6.2,"1",0.507,6.879,77.7,3.2721,8,307,17.4,390.39,9.93
"Newton",3734,-71.1208,42.2183,30.1,30.1,0.6147,0,6.2,"0",0.507,6.618,80.8,3.2721,8,307,17.4,396.9,7.6
"Newton",3735,-71.11,42.206,44.8,44.8,0.31533,0,6.2,"0",0.504,8.266,78.3,2.8944,8,307,17.4,385.05,4.14
"Newton",3736,-71.1012,42.1975,50,50,0.52693,0,6.2,"0",0.504,8.725,83,2.8944,8,307,17.4,382,4.63
"Newton",3737,-71.1215,42.2025,37.6,37.6,0.38214,0,6.2,"0",0.504,8.04,86.5,3.2157,8,307,17.4,387.38,3.13
"Newton",3738,-71.116,42.1947,31.6,31.6,0.41238,0,6.2,"0",0.504,7.163,79.9,3.2157,8,307,17.4,372.08,6.36
"Newton",3739,-71.11,42.185,46.7,46.7,0.29819,0,6.2,"0",0.504,7.686,17,3.3751,8,307,17.4,377.51,3.92
"Newton",3740,-71.119,42.1807,31.5,31.5,0.44178,0,6.2,"0",0.504,6.552,21.4,3.3751,8,307,17.4,380.34,3.76
"Newton",3741,-71.13,42.188,24.3,24.3,0.537,0,6.2,"0",0.504,5.981,68.1,3.6715,8,307,17.4,378.35,11.65
"Newton",3742,-71.1285,42.193,31.7,31.7,0.46296,0,6.2,"0",0.504,7.412,76.9,3.6715,8,307,17.4,376.14,5.25
"Newton",3743,-71.14,42.1946,41.7,41.7,0.57529,0,6.2,"0",0.507,8.337,73.3,3.8384,8,307,17.4,385.91,2.47
"Newton",3744,-71.134,42.204,48.3,48.3,0.33147,0,6.2,"0",0.507,8.247,70.4,3.6519,8,307,17.4,378.95,3.95
"Newton",3745,-71.132,42.2142,29,29,0.44791,0,6.2,"1",0.507,6.726,66.5,3.6519,8,307,17.4,360.2,8.05
"Newton",3746,-71.138,42.2141,24,24,0.33045,0,6.2,"0",0.507,6.086,61.5,3.6519,8,307,17.4,376.75,10.88
"Newton",3747,-71.1485,42.211,25.1,25.1,0.52058,0,6.2,"1",0.507,6.631,76.5,4.148,8,307,17.4,388.45,9.54
"Newton",3748,-71.1491,42.203,31.5,31.5,0.51183,0,6.2,"0",0.507,7.358,71.6,4.148,8,307,17.4,390.07,4.73
"Natick",3821,-71.2055,42.1875,23.7,23.7,0.08244,30,4.93,"0",0.428,6.481,18.5,6.1899,6,300,16.6,379.41,6.36
"Natick",3822,-71.2035,42.187,23.3,23.3,0.09252,30,4.93,"0",0.428,6.606,42.2,6.1899,6,300,16.6,383.78,7.37
"Natick",3823,-71.1966,42.164,22,27,0.11329,30,4.93,"0",0.428,6.897,54.3,6.3361,6,300,16.6,391.25,11.38
"Natick",3824,-71.2138,42.1645,20.1,20.1,0.10612,30,4.93,"0",0.428,6.095,65.1,6.3361,6,300,16.6,394.62,12.4
"Natick",3825,-71.22,42.1782,22.2,22.2,0.1029,30,4.93,"0",0.428,6.358,52.9,7.0355,6,300,16.6,372.75,11.22
"Natick",3826,-71.232,42.1725,23.7,23.7,0.12757,30,4.93,"0",0.428,6.393,7.8,7.0355,6,300,16.6,374.71,5.19
"Framingham",3831,-71.2435,42.163,17.6,17.6,0.20608,22,5.86,"0",0.431,5.593,76.5,7.9549,7,330,19.1,372.49,12.5
"Framingham",3832,-71.2575,42.1618,18.5,18.5,0.19133,22,5.86,"0",0.431,5.605,70.2,7.9549,7,330,19.1,389.13,18.46
"Framingham",3833,-71.262,42.169,24.3,24.3,0.33983,22,5.86,"0",0.431,6.108,34.9,8.0555,7,330,19.1,390.18,9.16
"Framingham",3834,-71.247,42.1703,20.5,20.5,0.19657,22,5.86,"0",0.431,6.226,79.2,8.0555,7,330,19.1,376.14,10.15
"Framingham",3835,-71.255,42.1767,24.5,24.5,0.16439,22,5.86,"0",0.431,6.433,49.1,7.8265,7,330,19.1,374.71,9.52
"Framingham",3836,-71.2475,42.1825,26.2,26.2,0.19073,22,5.86,"0",0.431,6.718,17.5,7.8265,7,330,19.1,393.74,6.56
"Framingham",3837,-71.238,42.191,24.4,24.4,0.1403,22,5.86,"0",0.431,6.487,13,7.3967,7,330,19.1,396.28,5.9
"Framingham",3838,-71.2435,42.1982,24.8,24.8,0.21409,22,5.86,"0",0.431,6.438,8.9,7.3967,7,330,19.1,377.07,3.59
"Framingham",3839,-71.2685,42.1935,29.6,29.6,0.08221,22,5.86,"0",0.431,6.957,6.8,8.9067,7,330,19.1,386.09,3.53
"Framingham",3840,-71.2807,42.1727,42.8,42.8,0.36894,22,5.86,"0",0.431,8.259,8.4,8.9067,7,330,19.1,396.9,3.54
"Ashland",3851,-71.2895,42.1575,21.9,21.9,0.04819,80,3.64,"0",0.392,6.108,32,9.2203,1,315,16.4,392.89,6.57
"Ashland",3852,-71.269,42.1482,20.9,20.9,0.03548,80,3.64,"0",0.392,5.876,19.1,9.2203,1,315,16.4,395.18,9.25
"Sherborn",3861,-71.223,42.145,44,44,0.01538,90,3.75,"0",0.394,7.454,34.2,6.3361,3,244,15.9,386.34,3.11
"Brookline",4001,-71.0679,42.2073,50,50,0.61154,20,3.97,"0",0.647,8.704,86.9,1.801,5,264,13,389.7,5.12
"Brookline",4002,-71.0727,42.2077,36,36,0.66351,20,3.97,"0",0.647,7.333,100,1.8946,5,264,13,383.29,7.79
"Brookline",4003,-71.0765,42.2075,30.1,30.1,0.65665,20,3.97,"0",0.647,6.842,100,2.0107,5,264,13,391.93,6.9
"Brookline",4004,-71.08,42.204,33.8,33.8,0.54011,20,3.97,"0",0.647,7.203,81.8,2.1121,5,264,13,392.8,9.59
"Brookline",4005,-71.079,42.202,43.1,43.1,0.53412,20,3.97,"0",0.647,7.52,89.4,2.1398,5,264,13,388.37,7.26
"Brookline",4006,-71.0835,42.2,48.8,48.8,0.52014,20,3.97,"0",0.647,8.398,91.5,2.2885,5,264,13,386.86,5.91
"Brookline",4007,-71.075,42.198,31,31,0.82526,20,3.97,"0",0.647,7.327,94.5,2.0788,5,264,13,393.42,11.25
"Brookline",4008,-71.071,42.203,36.5,36.5,0.55007,20,3.97,"0",0.647,7.206,91.6,1.9301,5,264,13,387.89,8.1
"Brookline",4009,-71.07,42.2,22.8,22.8,0.76162,20,3.97,"0",0.647,5.56,62.8,1.9865,5,264,13,392.4,10.45
"Brookline",4010,-71.0725,42.1965,30.7,30.7,0.7857,20,3.97,"0",0.647,7.014,84.6,2.1329,5,264,13,384.07,14.79
"Brookline",4011,-71.085,42.1925,50,50,0.57834,20,3.97,"0",0.575,8.297,67,2.4216,5,264,13,384.54,7.44
"Brookline",4012,-71.0925,42.2075,43.5,43.5,0.5405,20,3.97,"0",0.575,7.47,52.6,2.872,5,264,13,390.3,3.16
"Dedham",4021,-71.098,42.154,20.7,20.7,0.09065,20,6.96,"1",0.464,5.92,61.5,3.9175,3,223,18.6,391.34,13.65
"Dedham",4022,-71.087,42.141,21.1,21.1,0.29916,20,6.96,"0",0.464,5.856,42.1,4.429,3,223,18.6,388.65,13
"Dedham",4023,-71.094,42.1355,25.2,25.2,0.16211,20,6.96,"0",0.464,6.24,16.3,4.429,3,223,18.6,396.9,6.59
"Dedham",4024,-71.0982,42.1445,24.4,24.4,0.1146,20,6.96,"0",0.464,6.538,58.7,3.9175,3,223,18.6,394.96,7.73
"Dedham",4025,-71.117,42.151,35.2,35.2,0.22188,20,6.96,"1",0.464,7.691,51.8,4.3665,3,223,18.6,390.77,6.58
"Needham",4031,-71.1305,42.1675,32.4,32.4,0.05644,40,6.41,"1",0.447,6.758,32.9,4.0776,4,254,17.6,396.9,3.53
"Needham",4032,-71.138,42.1733,32,32,0.09604,40,6.41,"0",0.447,6.854,42.8,4.2673,4,254,17.6,396.9,2.98
"Needham",4033,-71.1405,42.1632,33.2,33.2,0.10469,40,6.41,"1",0.447,7.267,49,4.7872,4,254,17.6,389.25,6.05
"Needham",4034,-71.1495,42.173,33.1,33.1,0.06127,40,6.41,"1",0.447,6.826,27.6,4.8628,4,254,17.6,393.45,4.16
"Needham",4035,-71.1395,42.1813,29.1,29.1,0.07978,40,6.41,"0",0.447,6.482,32.1,4.1403,4,254,17.6,396.9,7.19
"Wellesley",4041,-71.148,42.188,35.1,35.1,0.21038,20,3.33,"0",0.4429,6.812,32.2,4.1007,5,216,14.9,396.9,4.85
"Wellesley",4042,-71.166,42.187,45.4,45.4,0.03578,20,3.33,"0",0.4429,7.82,64.5,4.6947,5,216,14.9,387.31,3.76
"Wellesley",4043,-71.185,42.1848,35.4,35.4,0.03705,20,3.33,"0",0.4429,6.968,37.2,5.2447,5,216,14.9,392.23,4.59
"Wellesley",4044,-71.1775,42.1735,46,46,0.06129,20,3.33,"1",0.4429,7.645,49.7,5.2119,5,216,14.9,377.07,3.01
"Dover",4051,-71.173,42.1475,50,50,0.01501,90,1.21,"1",0.401,7.923,24.8,5.885,1,198,13.6,395.52,3.16
"Medfield",4061,-71.18,42.1105,32.2,32.2,0.00906,90,2.97,"0",0.4,7.088,20.8,7.3073,1,285,15.3,394.72,7.85
"Millis",4071,-71.2135,42.1,22,22,0.01096,55,2.25,"0",0.389,6.453,31.9,7.3073,1,300,15.3,394.72,8.23
"Norfolk",4091,-71.195,42.0675,20.1,20.1,0.01965,80,1.76,"0",0.385,6.23,31.5,9.0892,1,241,18.2,341.6,12.93
"Walpole",4111,-71.148,42.0775,23.2,23.2,0.03871,52.5,5.32,"0",0.405,6.209,31.3,7.3172,6,293,16.6,396.9,7.14
"Walpole",4112,-71.1325,42.094,22.3,22.3,0.0459,52.5,5.32,"0",0.405,6.315,45.6,7.3172,6,293,16.6,396.9,7.6
"Walpole",4113,-71.155,42.098,24.8,24.8,0.04297,52.5,5.32,"0",0.405,6.565,22.9,7.3172,6,293,16.6,371.72,9.51
"Westwood",4121,-71.1385,42.1235,28.5,28.5,0.03502,80,4.95,"0",0.411,6.861,27.9,5.1167,4,245,19.2,396.9,3.33
"Westwood",4122,-71.133,42.1408,37.3,37.3,0.07886,80,4.95,"0",0.411,7.148,27.7,5.1167,4,245,19.2,396.9,3.56
"Westwood",4123,-71.107,42.1307,27.9,27.9,0.03615,80,4.95,"0",0.411,6.63,23.4,5.1167,4,245,19.2,396.9,4.7
"Norwood",4131,-71.109,42.11,23.9,23.9,0.08265,0,13.92,"0",0.437,6.127,18.4,5.5027,4,289,16,396.9,8.58
"Norwood",4132,-71.118,42.1217,21.7,21.7,0.08199,0,13.92,"0",0.437,6.009,42.3,5.5027,4,289,16,396.9,10.4
"Norwood",4133,-71.1309,42.1166,28.6,28.6,0.12932,0,13.92,"0",0.437,6.678,31.1,5.9604,4,289,16,396.9,6.27
"Norwood",4134,-71.128,42.1108,27.1,27.1,0.05372,0,13.92,"0",0.437,6.549,51,5.9604,4,289,16,392.85,7.39
"Norwood",4135,-71.121,42.1025,20.3,20.3,0.14103,0,13.92,"0",0.437,5.79,58,6.32,4,289,16,396.9,15.84
"Sharon",4141,-71.12,42.0725,22.5,22.5,0.06466,70,2.24,"0",0.4,6.345,20.1,7.8278,5,358,14.8,368.24,4.97
"Sharon",4142,-71.1,42.059,29,29,0.05561,70,2.24,"0",0.4,7.041,10,7.8278,5,358,14.8,371.58,4.74
"Sharon",4143,-71.1035,42.0735,24.8,24.8,0.04417,70,2.24,"0",0.4,6.871,47.4,7.8278,5,358,14.8,390.86,6.07
"Canton",4151,-71.0875,42.095,22,22,0.03537,34,6.09,"0",0.433,6.59,40.4,5.4917,7,329,16.1,395.75,9.5
"Canton",4152,-71.0625,42.102,26.4,26.4,0.09266,34,6.09,"0",0.433,6.495,18.4,5.4917,7,329,16.1,383.61,8.67
"Canton",4153,-71.0865,42.12,33.1,33.1,0.1,34,6.09,"0",0.433,6.982,17.7,5.4917,7,329,16.1,390.43,4.86
"Milton",4161,-71.0465,42.145,36.1,36.1,0.05515,33,2.18,"0",0.472,7.236,41.1,4.022,7,222,18.4,393.68,6.93
"Milton",4162,-71.057,42.1525,28.4,28.4,0.05479,33,2.18,"0",0.472,6.616,58.1,3.37,7,222,18.4,393.36,8.93
"Milton",4163,-71.045,42.159,33.4,33.4,0.07503,33,2.18,"0",0.472,7.42,71.9,3.0992,7,222,18.4,396.9,6.47
"Milton",4164,-71.028,42.1565,28.2,28.2,0.04932,33,2.18,"0",0.472,6.849,70.3,3.1827,7,222,18.4,396.9,7.53
"Quincy",4171,-71.0138,42.1555,22.8,22.8,0.49298,0,9.9,"0",0.544,6.635,82.5,3.3175,4,304,18.4,396.9,4.54
"Quincy",4172,-71.0201,42.16,20.3,20.3,0.3494,0,9.9,"0",0.544,5.972,76.7,3.1025,4,304,18.4,396.24,9.97
"Quincy",4173,-71.016,42.176,16.1,16.1,2.63548,0,9.9,"0",0.544,4.973,37.8,2.5194,4,304,18.4,350.45,12.64
"Quincy",4174,-71.0075,42.178,22.1,22.1,0.79041,0,9.9,"0",0.544,6.122,52.8,2.6403,4,304,18.4,396.9,5.98
"Quincy",4175,-71.015,42.167,19.4,19.4,0.26169,0,9.9,"0",0.544,6.023,90.4,2.834,4,304,18.4,396.3,11.72
"Quincy",4176,-71.0075,42.1613,21.6,21.6,0.26938,0,9.9,"0",0.544,6.266,82.8,3.2628,4,304,18.4,393.39,7.9
"Quincy",4177,-71,42.153,23.8,23.8,0.3692,0,9.9,"0",0.544,6.567,87.3,3.6023,4,304,18.4,395.69,9.28
"Quincy",4178,-70.9795,42.158,16.2,16.2,0.25356,0,9.9,"0",0.544,5.705,77.7,3.945,4,304,18.4,396.42,11.5
"Quincy",4179,-70.988,42.1485,17.8,17.8,0.31827,0,9.9,"0",0.544,5.914,83.2,3.9986,4,304,18.4,390.7,18.33
"Quincy",4180,-71.004,42.1425,19.8,19.8,0.24522,0,9.9,"0",0.544,5.782,71.7,4.0317,4,304,18.4,396.9,15.94
"Quincy",4181,-71.01,42.15,23.1,23.1,0.40202,0,9.9,"0",0.544,6.382,67.2,3.5325,4,304,18.4,395.21,10.36
"Quincy",4182,-71.02,42.151,21,21,0.47547,0,9.9,"0",0.544,6.113,58.8,4.0019,4,304,18.4,396.23,12.73
"Braintree",4191,-71.0085,42.129,23.8,23.8,0.1676,0,7.38,"0",0.493,6.426,52.3,4.5404,5,287,19.6,396.9,7.2
"Braintree",4192,-70.9975,42.134,23.1,23.1,0.18159,0,7.38,"0",0.493,6.376,54.3,4.5404,5,287,19.6,396.9,6.87
"Braintree",4193,-70.99,42.1367,20.4,20.4,0.35114,0,7.38,"0",0.493,6.041,49.9,4.7211,5,287,19.6,396.9,7.7
"Braintree",4194,-70.9834,42.1375,18.5,18.5,0.28392,0,7.38,"0",0.493,5.708,74.3,4.7211,5,287,19.6,391.13,11.74
"Braintree",4195,-70.9895,42.1265,25,25,0.34109,0,7.38,"0",0.493,6.415,40.1,4.7211,5,287,19.6,396.9,6.12
"Braintree",4196,-71,42.1066,24.6,24.6,0.19186,0,7.38,"0",0.493,6.431,14.7,5.4159,5,287,19.6,393.68,5.08
"Braintree",4197,-70.9995,42.1175,23,23,0.30347,0,7.38,"0",0.493,6.312,28.9,5.4159,5,287,19.6,396.9,6.15
"Braintree",4198,-71.01,42.1215,22.2,22.2,0.24103,0,7.38,"0",0.493,6.083,43.7,5.4159,5,287,19.6,396.9,12.79
"Randolph",4201,-71.0275,42.113,19.3,19.3,0.06617,0,3.24,"0",0.46,5.868,25.8,5.2146,4,430,16.9,382.44,9.97
"Randolph",4202,-71.0415,42.115,22.6,22.6,0.06724,0,3.24,"0",0.46,6.333,17.2,5.2146,4,430,16.9,375.21,7.34
"Randolph",4203,-71.025,42.098,19.8,19.8,0.04544,0,3.24,"0",0.46,6.144,32.2,5.8736,4,430,16.9,368.57,9.09
"Holbrook",4211,-71.0115,42.0865,17.1,17.1,0.05023,35,6.06,"0",0.4379,5.706,28.4,6.6407,1,304,16.9,394.02,12.43
"Holbrook",4212,-70.996,42.0895,19.4,19.4,0.03466,35,6.06,"0",0.4379,6.031,23.3,6.6407,1,304,16.9,362.25,7.83
"Weymouth",4221,-70.9795,42.0995,22.2,22.2,0.05083,0,5.19,"0",0.515,6.316,38.1,6.4584,5,224,20.2,389.71,5.68
"Weymouth",4222,-70.965,42.101,20.7,20.7,0.03738,0,5.19,"0",0.515,6.31,38.5,6.4584,5,224,20.2,389.4,6.75
"Weymouth",4223,-70.97,42.115,21.1,21.1,0.03961,0,5.19,"0",0.515,6.037,34.5,5.9853,5,224,20.2,396.9,8.01
"Weymouth",4224,-70.976,42.128,19.5,19.5,0.03427,0,5.19,"0",0.515,5.869,46.3,5.2311,5,224,20.2,396.9,9.8
"Weymouth",4225,-70.9602,42.127,18.5,18.5,0.03041,0,5.19,"0",0.515,5.895,59.6,5.615,5,224,20.2,394.81,10.56
"Weymouth",4226,-70.9633,42.1374,20.6,20.6,0.03306,0,5.19,"0",0.515,6.059,37.3,4.8122,5,224,20.2,396.14,8.51
"Weymouth",4227,-70.9675,42.144,19,19,0.05497,0,5.19,"0",0.515,5.985,45.4,4.8122,5,224,20.2,396.9,9.74
"Weymouth",4228,-70.965,42.1503,18.7,18.7,0.06151,0,5.19,"0",0.515,5.968,58.5,4.8122,5,224,20.2,396.9,9.29
"Cohasset",4231,-70.8875,42.1465,32.7,32.7,0.01301,35,1.52,"0",0.442,7.241,49.3,7.0379,1,284,15.5,394.74,5.49
"Hull",5001,-70.915,42.16,16.5,16.5,0.02498,0,1.89,"0",0.518,6.54,59.7,6.2669,1,422,15.9,389.96,8.65
"Hingham",5011,-70.937,42.1475,23.9,23.9,0.02543,55,3.78,"0",0.484,6.696,56.4,5.7321,5,370,17.6,396.9,7.18
