"","iter","timetrain","mmce","g","method"
"1",1,0.565999999999804,0.03,10,"1vs1"
"2",2,0.397999999999683,0.05,10,"1vs1"
"3",3,0.400000000000091,0.055,10,"1vs1"
"4",4,0.413000000000011,0.045,10,"1vs1"
"5",5,0.416000000000167,0.05,10,"1vs1"
"6",6,0.391999999999825,0.06,10,"1vs1"
"7",7,0.396000000000186,0.04,10,"1vs1"
"8",8,0.398999999999887,0.065,10,"1vs1"
"9",9,0.400000000000091,0.06,10,"1vs1"
"10",10,0.409999999999854,0.03,10,"1vs1"
"11",1,0.231999999999971,0.02,10,"1vsrest"
"12",2,0.24599999999964,0.065,10,"1vsrest"
"13",3,0.246000000000095,0.065,10,"1vsrest"
"14",4,0.244999999999891,0.045,10,"1vsrest"
"15",5,0.221000000000004,0.045,10,"1vsrest"
"16",6,0.260000000000218,0.05,10,"1vsrest"
"17",7,0.210999999999785,0.045,10,"1vsrest"
"18",8,0.253000000000156,0.06,10,"1vsrest"
"19",9,0.215999999999894,0.055,10,"1vsrest"
"20",10,0.244999999999891,0.025,10,"1vsrest"
"21",1,0.608999999999924,0.03,13,"1vs1"
"22",2,0.614999999999782,0.065,13,"1vs1"
"23",3,0.619999999999891,0.015,13,"1vs1"
"24",4,0.602999999999611,0.025,13,"1vs1"
"25",5,0.626999999999953,0.03,13,"1vs1"
"26",6,0.619999999999891,0.065,13,"1vs1"
"27",7,0.621000000000095,0.04,13,"1vs1"
"28",8,0.639000000000124,0.06,13,"1vs1"
"29",9,0.626999999999953,0.04,13,"1vs1"
"30",10,0.65099999999984,0.06,13,"1vs1"
"31",1,0.238000000000284,0.015,13,"1vsrest"
"32",2,0.238000000000284,0.065,13,"1vsrest"
"33",3,0.23700000000008,0.02,13,"1vsrest"
"34",4,0.256000000000313,0.025,13,"1vsrest"
"35",5,0.233000000000175,0.035,13,"1vsrest"
"36",6,0.252999999999702,0.065,13,"1vsrest"
"37",7,0.223999999999705,0.04,13,"1vsrest"
"38",8,0.251999999999953,0.055,13,"1vsrest"
"39",9,0.251999999999953,0.04,13,"1vsrest"
"40",10,0.251000000000204,0.05,13,"1vsrest"
"41",1,0.898999999999887,0.055,16,"1vs1"
"42",2,0.922000000000025,0.035,16,"1vs1"
"43",3,0.898999999999887,0.05,16,"1vs1"
"44",4,0.886999999999716,0.03,16,"1vs1"
"45",5,0.911000000000058,0.05,16,"1vs1"
"46",6,0.894000000000233,0.05,16,"1vs1"
"47",7,0.911999999999807,0.045,16,"1vs1"
"48",8,0.916000000000167,0.025,16,"1vs1"
"49",9,0.92699999999968,0.055,16,"1vs1"
"50",10,0.925999999999931,0.03,16,"1vs1"
"51",1,0.273000000000138,0.045,16,"1vsrest"
"52",2,0.260999999999967,0.03,16,"1vsrest"
"53",3,0.291999999999916,0.05,16,"1vsrest"
"54",4,0.266000000000076,0.02,16,"1vsrest"
"55",5,0.275000000000091,0.02,16,"1vsrest"
"56",6,0.284000000000106,0.045,16,"1vsrest"
"57",7,0.259000000000015,0.055,16,"1vsrest"
"58",8,0.274999999999636,0.03,16,"1vsrest"
"59",9,0.281999999999698,0.04,16,"1vsrest"
"60",10,0.259000000000015,0.03,16,"1vsrest"
"61",1,1.25700000000006,0.05,19,"1vs1"
"62",2,1.23900000000003,0.075,19,"1vs1"
"63",3,1.43499999999995,0.075,19,"1vs1"
"64",4,1.14300000000003,0.04,19,"1vs1"
"65",5,1.13099999999986,0.05,19,"1vs1"
"66",6,1.154,0.04,19,"1vs1"
"67",7,1.18399999999974,0.05,19,"1vs1"
"68",8,1.16100000000006,0.055,19,"1vs1"
"69",9,1.1550000000002,0.065,19,"1vs1"
"70",10,1.17599999999993,0.06,19,"1vs1"
"71",1,0.329000000000178,0.04,19,"1vsrest"
"72",2,0.333999999999833,0.075,19,"1vsrest"
"73",3,0.329000000000178,0.085,19,"1vsrest"
"74",4,0.339000000000397,0.05,19,"1vsrest"
"75",5,0.333999999999833,0.05,19,"1vsrest"
"76",6,0.329999999999927,0.045,19,"1vsrest"
"77",7,0.324999999999818,0.045,19,"1vsrest"
"78",8,0.32300000000032,0.06,19,"1vsrest"
"79",9,0.326000000000022,0.06,19,"1vsrest"
"80",10,0.321999999999662,0.055,19,"1vsrest"
"81",1,1.53400000000011,0.055,22,"1vs1"
"82",2,1.55400000000009,0.02,22,"1vs1"
"83",3,1.57699999999977,0.035,22,"1vs1"
"84",4,1.61000000000013,0.06,22,"1vs1"
"85",5,1.56999999999971,0.055,22,"1vs1"
"86",6,1.66500000000042,0.035,22,"1vs1"
"87",7,1.63700000000017,0.105,22,"1vs1"
"88",8,1.63400000000001,0.07,22,"1vs1"
"89",9,1.47199999999975,0.035,22,"1vs1"
"90",10,1.46500000000015,0.035,22,"1vs1"
"91",1,0.387000000000171,0.05,22,"1vsrest"
"92",2,0.619999999999891,0.04,22,"1vsrest"
"93",3,0.366999999999734,0.04,22,"1vsrest"
"94",4,0.352000000000317,0.06,22,"1vsrest"
"95",5,0.353000000000065,0.055,22,"1vsrest"
"96",6,0.356000000000222,0.055,22,"1vsrest"
"97",7,0.348999999999705,0.1,22,"1vsrest"
"98",8,0.351999999999862,0.08,22,"1vsrest"
"99",9,0.34900000000016,0.04,22,"1vsrest"
"100",10,0.353000000000065,0.03,22,"1vsrest"
"101",1,1.95199999999977,0.045,25,"1vs1"
"102",2,1.92799999999988,0.055,25,"1vs1"
"103",3,1.9050000000002,0.045,25,"1vs1"
"104",4,1.92599999999993,0.045,25,"1vs1"
"105",5,1.97499999999991,0.02,25,"1vs1"
"106",6,1.98300000000017,0.06,25,"1vs1"
"107",7,2.04999999999973,0.035,25,"1vs1"
"108",8,1.8420000000001,0.03,25,"1vs1"
"109",9,1.84799999999996,0.045,25,"1vs1"
"110",10,1.87100000000009,0.04,25,"1vs1"
"111",1,0.427000000000135,0.055,25,"1vsrest"
"112",2,0.402999999999793,0.07,25,"1vsrest"
"113",3,0.414000000000215,0.06,25,"1vsrest"
"114",4,0.396000000000186,0.045,25,"1vsrest"
"115",5,0.424999999999727,0.025,25,"1vsrest"
"116",6,0.41800000000012,0.075,25,"1vsrest"
"117",7,0.408999999999651,0.045,25,"1vsrest"
"118",8,0.398999999999887,0.05,25,"1vsrest"
"119",9,0.400000000000091,0.05,25,"1vsrest"
"120",10,0.416999999999916,0.05,25,"1vsrest"
"121",1,2.34500000000025,0.045,28,"1vs1"
"122",2,2.39699999999993,0.065,28,"1vs1"
"123",3,2.4369999999999,0.065,28,"1vs1"
"124",4,2.45699999999988,0.055,28,"1vs1"
"125",5,2.46199999999999,0.065,28,"1vs1"
"126",6,2.23700000000008,0.045,28,"1vs1"
"127",7,2.29099999999971,0.03,28,"1vs1"
"128",8,2.32199999999966,0.03,28,"1vs1"
"129",9,2.43100000000004,0.05,28,"1vs1"
"130",10,2.404,0.04,28,"1vs1"
"131",1,0.481999999999971,0.065,28,"1vsrest"
"132",2,0.480000000000018,0.09,28,"1vsrest"
"133",3,0.474999999999909,0.05,28,"1vsrest"
"134",4,0.479000000000269,0.075,28,"1vsrest"
"135",5,0.480000000000018,0.07,28,"1vsrest"
"136",6,0.478999999999814,0.07,28,"1vsrest"
"137",7,0.472000000000207,0.05,28,"1vsrest"
"138",8,0.462999999999738,0.05,28,"1vsrest"
"139",9,0.492999999999938,0.07,28,"1vsrest"
"140",10,0.466999999999643,0.07,28,"1vsrest"
"141",1,3.03500000000031,0.05,31,"1vs1"
"142",2,3.02399999999989,0.065,31,"1vs1"
"143",3,2.70799999999963,0.05,31,"1vs1"
"144",4,2.72800000000007,0.045,31,"1vs1"
"145",5,2.80200000000013,0.05,31,"1vs1"
"146",6,2.84700000000021,0.065,31,"1vs1"
"147",7,2.86300000000028,0.055,31,"1vs1"
"148",8,2.98199999999997,0.045,31,"1vs1"
"149",9,3.01699999999983,0.025,31,"1vs1"
"150",10,3.01400000000012,0.05,31,"1vs1"
"151",1,0.548999999999978,0.1,31,"1vsrest"
"152",2,0.530999999999949,0.09,31,"1vsrest"
"153",3,0.535000000000309,0.16,31,"1vsrest"
"154",4,0.534999999999854,0.095,31,"1vsrest"
"155",5,0.538000000000011,0.09,31,"1vsrest"
"156",6,0.534999999999854,0.125,31,"1vsrest"
"157",7,0.560999999999694,0.115,31,"1vsrest"
"158",8,0.552999999999884,0.095,31,"1vsrest"
"159",9,0.548000000000229,0.085,31,"1vsrest"
"160",10,0.538000000000011,0.085,31,"1vsrest"
"161",1,3.24000000000024,0.035,34,"1vs1"
"162",2,3.25199999999995,0.065,34,"1vs1"
"163",3,3.43100000000004,0.055,34,"1vs1"
"164",4,3.46399999999994,0.025,34,"1vs1"
"165",5,3.49600000000009,0.025,34,"1vs1"
"166",6,3.50899999999956,0.035,34,"1vs1"
"167",7,3.51400000000012,0.015,34,"1vs1"
"168",8,3.22900000000027,0.035,34,"1vs1"
"169",9,3.29899999999998,0.045,34,"1vs1"
"170",10,3.32799999999997,0.035,34,"1vs1"
"171",1,0.576000000000022,0.195,34,"1vsrest"
"172",2,0.628999999999905,0.1,34,"1vsrest"
"173",3,0.592000000000098,0.15,34,"1vsrest"
"174",4,0.637000000000171,0.15,34,"1vsrest"
"175",5,0.594000000000051,0.1,34,"1vsrest"
"176",6,0.626000000000204,0.19,34,"1vsrest"
"177",7,0.599999999999909,0.115,34,"1vsrest"
"178",8,0.62099999999964,0.175,34,"1vsrest"
"179",9,0.619000000000142,0.14,34,"1vsrest"
"180",10,0.633000000000266,0.14,34,"1vsrest"
"181",1,4,0.065,37,"1vs1"
"182",2,3.77500000000009,0.06,37,"1vs1"
"183",3,3.8090000000002,0.055,37,"1vs1"
"184",4,3.86700000000019,0.055,37,"1vs1"
"185",5,4.14100000000008,0.065,37,"1vs1"
"186",6,3.80899999999974,0.05,37,"1vs1"
"187",7,3.87599999999975,0.04,37,"1vs1"
"188",8,3.92799999999988,0.03,37,"1vs1"
"189",9,3.99200000000019,0.04,37,"1vs1"
"190",10,4.07200000000012,0.07,37,"1vs1"
"191",1,0.666000000000167,0.35,37,"1vsrest"
"192",2,0.641000000000076,0.28,37,"1vsrest"
"193",3,0.677000000000135,0.345,37,"1vsrest"
"194",4,0.657999999999902,0.335,37,"1vsrest"
"195",5,0.713999999999942,0.265,37,"1vsrest"
"196",6,0.742999999999938,0.165,37,"1vsrest"
"197",7,0.712999999999738,0.33,37,"1vsrest"
"198",8,0.740999999999985,0.355,37,"1vsrest"
"199",9,0.754999999999654,0.335,37,"1vsrest"
"200",10,0.719000000000051,0.295,37,"1vsrest"
"201",1,0.685999999999694,0.02,4,"1vs1"
"202",2,0.139000000000124,0.035,4,"1vs1"
"203",3,0.112999999999829,0.015,4,"1vs1"
"204",4,0.119000000000142,0.045,4,"1vs1"
"205",5,0.11200000000008,0.04,4,"1vs1"
"206",6,0.11200000000008,0.02,4,"1vs1"
"207",7,0.108999999999924,0.03,4,"1vs1"
"208",8,0.157000000000153,0.035,4,"1vs1"
"209",9,0.114000000000033,0.015,4,"1vs1"
"210",10,0.119999999999891,0.055,4,"1vs1"
"211",1,0.196000000000367,0.02,4,"1vsrest"
"212",2,0.172999999999774,0.04,4,"1vsrest"
"213",3,0.179000000000087,0.015,4,"1vsrest"
"214",4,0.166999999999916,0.045,4,"1vsrest"
"215",5,0.164999999999964,0.035,4,"1vsrest"
"216",6,0.179999999999836,0.02,4,"1vsrest"
"217",7,0.175999999999931,0.04,4,"1vsrest"
"218",8,0.173999999999978,0.035,4,"1vsrest"
"219",9,0.16800000000012,0.02,4,"1vsrest"
"220",10,0.177000000000135,0.055,4,"1vsrest"
"221",1,4.42300000000023,0.045,40,"1vs1"
"222",2,4.48699999999963,0.055,40,"1vs1"
"223",3,4.50199999999995,0.05,40,"1vs1"
"224",4,4.57400000000007,0.055,40,"1vs1"
"225",5,4.35500000000002,0.05,40,"1vs1"
"226",6,4.44600000000037,0.065,40,"1vs1"
"227",7,4.60600000000022,0.06,40,"1vs1"
"228",8,4.35399999999981,0.05,40,"1vs1"
"229",9,4.43600000000015,0.07,40,"1vs1"
"230",10,4.51100000000042,0.05,40,"1vs1"
"231",1,0.783000000000357,0.43,40,"1vsrest"
"232",2,0.757000000000062,0.64,40,"1vsrest"
"233",3,0.718000000000302,0.6,40,"1vsrest"
"234",4,0.888999999999669,0.595,40,"1vsrest"
"235",5,0.654999999999745,0.54,40,"1vsrest"
"236",6,0.6550000000002,0.545,40,"1vsrest"
"237",7,0.647999999999683,0.52,40,"1vsrest"
"238",8,0.713000000000193,0.54,40,"1vsrest"
"239",9,0.648000000000138,0.545,40,"1vsrest"
"240",10,0.634999999999764,0.545,40,"1vsrest"
"241",1,0.233999999999924,0.04,7,"1vs1"
"242",2,0.243999999999687,0.035,7,"1vs1"
"243",3,0.239000000000033,0.025,7,"1vs1"
"244",4,0.24100000000044,0.03,7,"1vs1"
"245",5,0.230000000000018,0.02,7,"1vs1"
"246",6,0.248000000000047,0.02,7,"1vs1"
"247",7,0.257000000000062,0.055,7,"1vs1"
"248",8,0.248999999999796,0.05,7,"1vs1"
"249",9,0.244999999999891,0.03,7,"1vs1"
"250",10,0.252999999999702,0.05,7,"1vs1"
"251",1,0.20699999999988,0.035,7,"1vsrest"
"252",2,0.210999999999785,0.03,7,"1vsrest"
"253",3,0.208999999999833,0.03,7,"1vsrest"
"254",4,0.2199999999998,0.025,7,"1vsrest"
"255",5,0.210999999999785,0.015,7,"1vsrest"
"256",6,0.221000000000004,0.02,7,"1vsrest"
"257",7,0.19399999999996,0.07,7,"1vsrest"
"258",8,0.206000000000131,0.045,7,"1vsrest"
"259",9,0.222999999999956,0.025,7,"1vsrest"
"260",10,0.224999999999909,0.06,7,"1vsrest"
